ID	European %	East Asian %	Native American %	African %	South Asian %	Oceanian %	West Asian %	EUR %
S86	0.260639	0.015241	0.430015	0.110315	0.029288	0.00001	0.154492	0.415131
S87	0.00001	0.999937	0.00001	0.00001	0.00001	0.000013	0.00001	0.00002
S88	0.06191	0.00001	0.00001	0.00203	0.915329	0.00001	0.020702	0.082612
S89	0.897747	0.00001	0.00001	0.00001	0.0182	0.00001	0.084013	0.98176
S90	0.672774	0.206381	0.00001	0.004632	0.022276	0.012278	0.08165	0.754424
S93	0.251575	0.003897	0.563042	0.004377	0.00001	0.000046	0.177053	0.428628
S95	0.00001	0.012294	0.986208	0.00001	0.001458	0.00001	0.00001	0.00002
S96	0.318039	0.00001	0.386731	0.094897	0.00001	0.001832	0.198481	0.51652
S97	0.222423	0.015158	0.514832	0.100989	0.004613	0.004497	0.137488	0.359911
S98	0.271671	0.022669	0.404278	0.07533	0.020775	0.00001	0.205266	0.476937
S99	0.00001	0.99994	0.00001	0.00001	0.00001	0.00001	0.00001	0.00002
S100	0.160325	0.007358	0.00109	0.001687	0.318387	0.00001	0.511143	0.671468
S101	0.169851	0.011102	0.689733	0.000112	0.010809	0.003103	0.115289	0.28514
S102	0.793566	0.00001	0.00001	0.00001	0.025357	0.00001	0.181037	0.974603
S103	0.00001	0.99994	0.00001	0.00001	0.00001	0.00001	0.00001	0.00002
S104	0.220084	0.000015	0.57342	0.06876	0.00001	0.003985	0.133727	0.353811
S105	0.00001	0.946676	0.00001	0.004869	0.00001	0.048415	0.00001	0.00002
S106	0.591506	0.00001	0.00001	0.00395	0.057005	0.00001	0.347509	0.939015
S107	0.114985	0.00001	0.00001	0.00001	0.85121	0.000035	0.03374	0.148725
S108	0.89754	0.000013	0.00001	0.002427	0.028659	0.00001	0.07134	0.96888
S109	0.905157	0.00001	0.00001	0.00001	0.018803	0.000379	0.075631	0.980788
S110	0.881454	0.00001	0.00001	0.003059	0.011234	0.00001	0.104223	0.985677
S111	0.9251	0.00001	0.00001	0.00001	0.017824	0.00001	0.057037	0.982137
S113	0.00001	0.99994	0.00001	0.00001	0.00001	0.00001	0.00001	0.00002
S114	0.215952	0.004991	0.01151	0.071213	0.078776	0.00001	0.617548	0.8335
S115	0.218388	0.00001	0.604313	0.060067	0.000302	0.000941	0.115979	0.334367
S116	0.00001	0.999934	0.000016	0.00001	0.00001	0.00001	0.00001	0.00002
S117	0.903198	0.00001	0.00001	0.004598	0.027772	0.00001	0.064403	0.967601
S118	0.00001	0.947264	0.00001	0.004093	0.00001	0.048603	0.00001	0.00002
S119	0.381871	0.007059	0.326176	0.064523	0.00001	0.00001	0.220351	0.602222
S120	0.886087	0.00001	0.00001	0.00001	0.023614	0.00001	0.09026	0.976347
S121	0.274959	0.032733	0.402469	0.105596	0.014327	0.00001	0.169905	0.444864
S122	0.00001	0.99994	0.00001	0.00001	0.00001	0.00001	0.00001	0.00002
S123	0.00001	0.99994	0.00001	0.00001	0.00001	0.00001	0.00001	0.00002
S124	0.98443	0.00001	0.00001	0.00001	0.01552	0.00001	0.00001	0.98444
S125	0.877077	0.002897	0.017196	0.00001	0.035198	0.00001	0.067612	0.944689
S127	0.24259	0.023202	0.497612	0.060308	0.024241	0.000606	0.151441	0.394031
S128	0.857073	0.001502	0.00001	0.00001	0.07745	0.00001	0.063945	0.921018
S129	0.369998	0.00001	0.386683	0.059851	0.012969	0.001167	0.169323	0.539321
S130	0.879865	0.00001	0.00001	0.00001	0.017508	0.00001	0.102587	0.982452
S131	0.851813	0.00001	0.00001	0.004899	0.027903	0.00001	0.115356	0.967169
S132	0.147394	0.013621	0.664511	0.073238	0.011081	0.002837	0.087318	0.234712
S133	0.926174	0.00001	0.00001	0.00001	0.022106	0.00001	0.05168	0.977854
S134	0.846732	0.002156	0.00001	0.00001	0.017798	0.000239	0.133055	0.979787
S135	0.871206	0.00001	0.00001	0.00001	0.020342	0.00001	0.108412	0.979618
S136	0.390773	0.001474	0.00001	0.007047	0.060212	0.00001	0.540474	0.931247
S137	0.00001	0.969884	0.00001	0.00002	0.00001	0.030056	0.00001	0.00002
S138	0.170153	0.008327	0.00001	0.00001	0.793981	0.004148	0.023371	0.193524
S139	0.897381	0.00001	0.00001	0.00001	0.029661	0.00001	0.072919	0.9703
S140	0.892764	0.00001	0.00001	0.001948	0.022618	0.00001	0.08264	0.975404
S141	0.00001	0.998192	0.001758	0.00001	0.00001	0.00001	0.00001	0.00002
S142	0.644112	0.00001	0.00001	0.027788	0.00001	0.00001	0.32806	0.972172
S143	0.003884	0.913697	0.00001	0.00001	0.023599	0.04533	0.013469	0.017353
S144	0.195358	0.008182	0.602276	0.050968	0.002567	0.00912	0.131529	0.326887
S145	0.875553	0.00001	0.00001	0.007423	0.029157	0.00001	0.087836	0.963389
S146	0.281536	0.011763	0.47252	0.055286	0.00001	0.00001	0.178875	0.460411
S147	0.304205	0.025858	0.294564	0.037018	0.147623	0.014608	0.176123	0.480328
S148	0.291148	0.000532	0.00001	0.680063	0.026597	0.00001	0.001639	0.292787
S149	0.41813	0.005631	0.00001	0.00001	0.054589	0.00001	0.52162	0.93975
S150	0.902543	0.00001	0.00001	0.00001	0.028629	0.00001	0.068788	0.971331
S151	0.397713	0.00001	0.00001	0.00001	0.039584	0.00001	0.562663	0.960376
S152	0.873705	0.00001	0.00001	0.00001	0.048303	0.00001	0.077951	0.951656
S153	0.483161	0.002291	0.00001	0.00001	0.480081	0.00001	0.034437	0.517598
S154	0.320679	0.007469	0.403452	0.049932	0.00001	0.00001	0.218447	0.539126
S155	0.647806	0.000016	0.112029	0.011364	0.030019	0.00001	0.198755	0.846561
S156	0.228202	0.008951	0.00001	0.709706	0.011598	0.006429	0.035104	0.263306
S157	0.246774	0.013116	0.47436	0.075798	0.004411	0.016074	0.169467	0.416241
S158	0.890215	0.00001	0.00001	0.00001	0.021699	0.000338	0.087718	0.977933
S159	0.633943	0.004242	0.00001	0.012725	0.02814	0.00001	0.320931	0.954874
S160	0.850417	0.00001	0.00001	0.000019	0.014519	0.00001	0.135015	0.985432
S161	0.862069	0.00001	0.00001	0.00001	0.00809	0.00001	0.129802	0.991871
S162	0.89741	0.000017	0.024053	0.011191	0.008437	0.00001	0.058881	0.956291
S163	0.00001	0.99994	0.00001	0.00001	0.00001	0.00001	0.00001	0.00002
S164	0.881479	0.014259	0.00001	0.00001	0.018158	0.00631	0.079775	0.961254
S165	0.928025	0.00001	0.00001	0.00001	0.007194	0.004285	0.060465	0.98849
S166	0.12468	0.024782	0.710124	0.032634	0.00001	0.000954	0.106816	0.231496
S167	0.202822	0.00001	0.592523	0.069131	0.00001	0.001383	0.134121	0.336943
S168	0.80342	0.00001	0.00001	0.00001	0.007812	0.00001	0.188727	0.992147
S169	0.393771	0.007577	0.383067	0.05275	0.00001	0.003321	0.159504	0.553275
S170	0.896247	0.00001	0.00001	0.00001	0.000248	0.004665	0.09881	0.995057
S171	0.59195	0.00001	0.00001	0.00001	0.037438	0.00001	0.370572	0.962522
S172	0.933963	0.00001	0.00001	0.00001	0.024916	0.00001	0.041081	0.975044
S173	0.00001	0.99994	0.00001	0.00001	0.00001	0.00001	0.00001	0.00002
S174	0.637316	0.00001	0.00001	0.00001	0.032252	0.000312	0.330091	0.967407
S175	0.292231	0.00001	0.457276	0.048175	0.00001	0.000676	0.201622	0.493853
S176	0.098971	0.00001	0.816626	0.018743	0.00001	0.003518	0.062122	0.161093
S177	0.088722	0.776395	0.000016	0.00001	0.01427	0.111535	0.009052	0.097774
S178	0.882724	0.00001	0.00001	0.000911	0.00931	0.00001	0.107024	0.989748
S179	0.54597	0.00001	0.062245	0.007755	0.00001	0.00001	0.384	0.92997
S180	0.906195	0.00001	0.00001	0.00001	0.025161	0.00001	0.068604	0.974799
S181	0.00001	0.99994	0.00001	0.00001	0.00001	0.00001	0.00001	0.00002
S182	0.402935	0.019718	0.283808	0.059285	0.00001	0.00001	0.234234	0.637169
S183	0.153057	0.519883	0.00001	0.013576	0.041772	0.010447	0.261253	0.41431
S184	0.004047	0.880893	0.00001	0.004501	0.034845	0.064683	0.011021	0.015068
S185	0.130134	0.004043	0.003179	0.00001	0.321092	0.00001	0.541532	0.671666
S186	0.887797	0.00001	0.000015	0.00001	0.00619	0.001883	0.104095	0.991892
S187	0.35814	0.008166	0.00001	0.008306	0.022473	0.00001	0.602896	0.961036
S188	0.888167	0.00001	0.00001	0.000012	0.049674	0.00001	0.062118	0.950285
S189	0.00001	0.99994	0.00001	0.00001	0.00001	0.00001	0.00001	0.00002
S190	0.325879	0.00001	0.00001	0.00001	0.064498	0.00001	0.609583	0.935462
S191	0.191274	0.001534	0.00001	0.00001	0.70404	0.00001	0.103122	0.294396
S192	0.121607	0.01864	0.00001	0.00001	0.762791	0.008015	0.088927	0.210534
S194	0.848857	0.000013	0.00001	0.000184	0.025696	0.00001	0.12523	0.974087
S195	0.224787	0.00001	0.00001	0.760566	0.014607	0.00001	0.00001	0.224797
S196	0.039006	0.836177	0.00001	0.011354	0.018146	0.048732	0.046576	0.085582
S197	0.292071	0.008481	0.413395	0.08742	0.00001	0.002571	0.196053	0.488124
S198	0.000015	0.90843	0.00001	0.000066	0.001312	0.090157	0.00001	0.000025
S199	0.00001	0.99993	0.000012	0.000015	0.00001	0.000013	0.00001	0.00002
S200	0.00001	0.99994	0.00001	0.00001	0.00001	0.00001	0.00001	0.00002
S201	0.004706	0.914395	0.00001	0.005353	0.03047	0.039805	0.005261	0.009967
S202	0.419187	0.000012	0.00001	0.084982	0.00001	0.003014	0.492786	0.911973
S203	0.867219	0.00001	0.001733	0.00001	0.023905	0.00001	0.107114	0.974333
S204	0.331009	0.004925	0.00001	0.016159	0.084401	0.00001	0.563486	0.894495
S205	0.00001	0.96919	0.00001	0.00001	0.00001	0.03076	0.00001	0.00002
S206	0.358813	0.006122	0.00001	0.009482	0.081178	0.001595	0.542799	0.901612
S207	0.899289	0.00001	0.00001	0.005171	0.007164	0.00001	0.088345	0.987634
S209	0.710284	0.00001	0.00001	0.00001	0.012399	0.00001	0.277278	0.987562
S210	0.00001	0.999938	0.000012	0.00001	0.00001	0.00001	0.00001	0.00002
S211	0.00001	0.99993	0.00001	0.00001	0.00002	0.00001	0.00001	0.00002
S212	0.00001	0.99994	0.00001	0.00001	0.00001	0.00001	0.00001	0.00002
S213	0.378873	0.007566	0.00001	0.015053	0.066504	0.00036	0.531635	0.910508
S214	0.068415	0.00001	0.00001	0.00001	0.895916	0.008694	0.026945	0.09536
S215	0.366433	0.00001	0.321862	0.043304	0.005247	0.00001	0.263135	0.629568
S216	0.238235	0.003744	0.506635	0.058359	0.001102	0.002979	0.188945	0.42718
S217	0.729582	0.00001	0.00001	0.00001	0.021635	0.00001	0.248744	0.978326
S218	0.919165	0.00001	0.00001	0.00001	0.039506	0.00383	0.037469	0.956634
S221	0.166404	0.00001	0.00001	0.00001	0.152077	0.00001	0.68148	0.847884
S223	0.00001	0.00001	0.00001	0.99994	0.00001	0.00001	0.00001	0.00002
S225	0.000015	0.007735	0.00001	0.000565	0.963196	0.024114	0.004365	0.00438
S226	0.00001	0.996232	0.00001	0.00001	0.00001	0.003718	0.00001	0.00002
S227	0.348114	0.011022	0.00001	0.00001	0.049907	0.00001	0.590927	0.939041
S228	0.00001	0.99994	0.00001	0.00001	0.00001	0.00001	0.00001	0.00002
S229	0.231691	0.005305	0.572625	0.044894	0.009488	0.00195	0.134048	0.365739
S230	0.998686	0.00001	0.00001	0.00001	0.001264	0.00001	0.00001	0.998696
S231	0.00001	0.99994	0.00001	0.00001	0.00001	0.00001	0.00001	0.00002
S232	0.894867	0.00001	0.006946	0.00001	0.007598	0.00001	0.09056	0.985427
S233	0.200487	0.007864	0.004908	0.00001	0.258689	0.00001	0.528032	0.728519
S234	0.75946	0.00001	0.00001	0.00642	0.038229	0.00001	0.195861	0.955321
S235	0.4165	0.476316	0.00001	0.00288	0.017556	0.023977	0.06276	0.47926
S236	0.00001	0.677893	0.00001	0.000019	0.00001	0.322049	0.00001	0.00002
S237	0.00001	0.999936	0.000014	0.00001	0.00001	0.00001	0.00001	0.00002
S238	0.858266	0.006212	0.00001	0.00001	0.034561	0.000946	0.099995	0.958261
S239	0.328871	0.00001	0.329591	0.115226	0.010331	0.006032	0.209939	0.53881
S240	0.063346	0.010918	0.000017	0.912122	0.006241	0.00001	0.007346	0.070692
S241	0.929437	0.00001	0.00001	0.026168	0.00001	0.000074	0.044291	0.973728
